Team,Position,Jersey Number,First Name,Last Name,Full Name,Player Link
Men,Midfielders,8,Bruno,Fernandes,Bruno Fernandes,https://www.manutd.com/en/players-and-staff/detail/bruno-fernandes
Men,Midfielders,14,Christian,Eriksen,Christian Eriksen,https://www.manutd.com/en/players-and-staff/detail/christian-eriksen
Men,Midfielders,16,Amad,,Amad ,https://www.manutd.com/en/players-and-staff/detail/amad-diallo
Men,Midfielders,18,Casemiro,,Casemiro ,https://www.manutd.com/en/players-and-staff/detail/casemiro
Men,Midfielders,28,Facundo,Pellistri,Facundo Pellistri,https://www.manutd.com/en/players-and-staff/detail/facundo-pellistri
Men,Midfielders,34,Donny,van de Beek,Donny van de Beek,https://www.manutd.com/en/players-and-staff/detail/donny-van-de-beek
Men,Midfielders,37,Kobbie,Mainoo,Kobbie Mainoo,https://www.manutd.com/en/players-and-staff/detail/kobbie-mainoo-mens-team
Men,Midfielders,39,Scott,McTominay,Scott McTominay,https://www.manutd.com/en/players-and-staff/detail/scott-mctominay
Men,Midfielders,44,Daniel,Gore,Daniel Gore,https://www.manutd.com/en/players-and-staff/detail/daniel-gore-first-team
Men,Midfielders,46,,Hannibal, Hannibal,https://www.manutd.com/en/players-and-staff/detail/hannibal-mejbri
Men,Midfielders,62,Omari,Forson,Omari Forson,https://www.manutd.com/en/players-and-staff/detail/omari-forson
Men,Forwards,9,Anthony,Martial,Anthony Martial,https://www.manutd.com/en/players-and-staff/detail/anthony-martial
Men,Forwards,10,Marcus,Rashford,Marcus Rashford,https://www.manutd.com/en/players-and-staff/detail/marcus-rashford
Men,Forwards,11,Rasmus,Hojlund,Rasmus Hojlund,https://www.manutd.com/en/players-and-staff/detail/rasmus-hojlund
Men,Forwards,17,Alejandro,Garnacho,Alejandro Garnacho,https://www.manutd.com/en/players-and-staff/detail/alejandro-garnacho
Men,Forwards,21,Antony,,Antony ,https://www.manutd.com/en/players-and-staff/detail/antony
Men,Forwards,25,Jadon,Sancho,Jadon Sancho,https://www.manutd.com/en/players-and-staff/detail/jadon-sancho
Men,Forwards,47,Shola,Shoretire,Shola Shoretire,https://www.manutd.com/en/players-and-staff/detail/shola-shoretire
Men,Forwards,,Mason,Greenwood,Mason Greenwood,https://www.manutd.com/en/players-and-staff/detail/mason-greenwood
Women,Goalkeepers,27,Mary,Earps,Mary Earps,https://www.manutd.com/en/players-and-staff/detail/mary-earps
